Station,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,Year
Teknaf ,15.3,15.9,26.8,23.8,26.2,25.9,25.3,25.4,25.7,24.3,21,15.8,22.62
Chittagong ,15.3,16.3,22,22.7,25.4,25.5,25.5,25.7,25.8,24.2,20.5,14.5,21.95
Commilla ,12.9,14.6,21.7,24.3,25,25.8,25.9,25.9,25.9,23.4,18.6,13.4,21.45
Cox’s Bazar ,15.8,17.1,21.4,22.7,25.7,25.5,25.1,24.9,25.5,23.5,28.5,15.5,22.6
Feni ,13,14.7,21.2,23.5,25.2,25.1,25.3,25.5,25.5,23.6,18.5,13.2,21.19
Hatiya ,13.3,15.6,221.2,24.1,25.6,26.7,26,25.9,26.1,24.4,20.5,13.6,38.58
Kutubdia ,15.3,16.9,21.9,23.5,26.1,25.9,25.3,25.8,25.8,24.7,20.5,14.7,22.2
M. Court ,14.6,15.6,22.3,22.8,25.9,26.7,26.5,26.4,26.2,24.7,20.4,14.7,22.23
Rangamati ,13,14.2,19.8,23.8,24,25.6,24.4,24.3,24.9,23,18.9,13.4,20.78
Sandwip ,13.6,15,21.7,23.1,25.6,26.1,25.6,25.7,26,23.8,19.4,13.5,21.59
Sitakunda ,13.5,12.9,21.3,23.1,26.4,25.5,25.8,25.4,25.7,23.7,19.3,12.6,21.27
Dhaka ,12.3,17.5,22.1,24.4,24.8,27.2,27,26.2,26.3,24.4,18.5,15.6,22.19
Tangail ,9.8,14.3,19.5,22.9,24.2,26.3,26.8,26,25.9,23.4,16.1,13.6,20.73
Mymensingh ,10.5,15.7,19.6,22.5,24.2,26.4,26.4,26.2,26.2,23.6,16.1,14.5,20.99
Faridpur ,10.3,14.8,20.3,23.7,24.5,26.4,26.7,26.3,26.3,24.3,17.6,12.7,21.16
Madaripur ,10,14.8,20.3,23.5,24.3,26.4,26.3,26.1,25.8,24,20.2,111.6,29.44
Srimangal ,7.5,12.1,17.4,21.3,22.5,25.5,25.5,25,24.9,22.5,14.2,14.6,19.42
Sylhet ,11.8,15.9,19.7,21.8,22.7,25.8,25.7,25.6,25.3,23.1,17.3,14.1,20.73
Bogra ,10.3,15.1,19.9,22.8,24.5,26.8,26.9,26.5,26.6,23.8,17.4,12.2,21.07
Ishwardi ,8.6,13.1,18.3,23.1,24.9,26.7,26.8,25.2,25.9,23.7,15.6,12.7,20.38
Rajshahi ,9.3,13.6,18.2,22.6,24.8,26.6,26.7,26.3,26.3,23.4,16.2,13.7,20.64
Rangpur ,9.1,14.2,18.2,21.4,23.7,26.4,26.8,26.2,26.1,23.2,16.8,12.7,20.4
Sayedpur ,8.7,14.3,18,20.9,23.7,26.4,28.8,26.2,25.9,22.3,15.8,12.2,20.27
Chuadanga ,8.6,12.8,18.4,23.3,24.9,26.4,26.4,25.7,25.6,23.5,15.3,13.1,20.33
Jessore ,9.3,13.6,19.6,23.6,25.2,26.5,26.5,26,25.9,23.9,16.1,15,20.93
Khulna ,11.7,15.6,21.1,24.1,25.2,27.1,26.7,26.3,26.3,24.4,18.2,15.8,21.88
Mongla ,12.4,16.2,21.6,24.6,25.5,26.7,26.7,26.4,26.2,24.5,19,14.6,22.03
Satkhira ,11.3,15.1,10.5,24.3,25.5,27.8,25.8,26.6,26.5,24.6,17.9,14.2,20.84
Barisal ,10.6,14.9,21,24,24.8,26.8,26.9,26.3,26,24.4,17.7,13.9,21.44
Bhola ,9,15.3,21.1,24.2,24.5,26.7,26.3,26.3,26.1,24.2,17.9,14.6,21.35
Khepupara ,12,15.5,21.2,24.4,25,26.5,26.2,25.9,25.8,24.4,18.6,14.9,21.7
Patuakhali ,11.7,15.5,21.1,24,25.1,26.7,26.2,26.1,25.8,24.4,18.6,15.9,21.76
Chandpur ,11.7,16,21.3,23.9,24.4,26.5,26.5,26.2,26.1,24.5,19.1,16.2,21.87
Teknaf ,14,16.6,20.7,24.1,24.8,25.8,25.3,25.4,25.7,24.8,20,16.2,21.95
Chittagong ,12.7,17,20.8,24.4,24.5,26.1,26.3,25.7,25.8,24.5,20.1,14.2,21.84
Commilla ,10.9,15.8,20.6,23.4,24.2,26.5,26,26,25.8,24.2,17.8,17.1,21.53
Cox’s Bazar ,13.9,18.2,21.4,24.5,24.7,25.8,26.1,25.5,25.6,24.5,21.3,14.3,22.15
Feni ,10.9,15.3,20.4,23.7,24.3,26.2,25.7,25.5,25.2,23.8,17.8,14.9,21.14
Hatiya ,11.6,15.6,20.3,23.9,21.6,26.1,25.8,25.3,25.5,24.3,19,14.3,21.11
Kutubdia ,13.5,17.5,21.3,24.4,24.7,25.6,25.1,25.3,24.8,15.8,19,16.2,21.1
M. Court ,12.5,16.8,21,23.9,24.7,26.9,26.5,26.2,26.3,25.1,20.2,16.2,22.19
Rangamati ,10.4,14.6,18.9,22.7,23.7,25.4,26.5,25.1,24.4,23.1,20.2,16.6,20.97
Sandwip ,11.6,15.4,20.1,24.1,24.6,26.2,24.8,25.5,25.3,24.2,17.8,14.6,21.18
Sitakunda ,8.5,13.9,18,21.3,23.9,23.9,26.9,26.2,26,22.3,15.1,12.3,19.86
Ambagan (ctg) ,9.6,14.3,19.2,23.4,24.2,26,25.8,25.8,25.3,23.7,17.3,13.6,20.68
Dhaka ,11.6,17,20.7,23.4,25.5,26.7,2.6,26.9,26.1,24.2,19.9,16.3,20.08
Tangail ,11.9,14.7,18.1,21.1,23.5,25.2,25.2,25.8,25.6,22.8,18.1,13.3,20.44
Mymensingh ,13.6,15.6,18.5,30.6,24.1,26,26.2,26.6,26.1,23.6,18.1,13.3,21.86
Faridpur ,13,15.4,18.7,33.1,25.2,26,26,26.7,25.9,23.9,19.1,15.1,22.34
Madaripur ,12.7,15,22.5,22.8,24.9,25.3,25.7,26.2,24.8,23.7,18.9,15.1,21.47
Srimangal ,11.6,11.9,15.5,21.3,23.2,25.1,25.3,25.5,25.3,22.1,16,11.4,19.52
Sylhet ,14.8,15.1,18.8,21.2,22.7,26,25.9,25.5,25.9,23.4,19,14.7,21.08
Bogra ,12.3,15.3,18.9,21.4,23.8,26.5,25.9,26.2,25.9,23.2,18.9,13.8,21.01
Ishurdi ,11.1,14.3,17.9,22.2,24.7,26.3,26.2,26.8,26,23.1,18.1,13.6,20.86
Rajshahi ,11.6,14.4,17.9,22.4,24.7,25.5,26.1,26.8,25.8,23.1,18,13.6,20.83
Rangpur ,12,14.3,18.3,21,23.3,25.7,26.6,26.4,25.6,23.6,18.6,12.9,20.69
Sydpur ,11.7,14.6,17.8,21,24,26.4,26.5,26.2,25.9,22.7,17.7,12.2,20.56
Chuadanga ,10.9,14.4,17.7,23,25.2,26.7,25.9,26.5,26.3,23.1,17.9,13.9,20.96
Jessore ,12,15.4,18.7,23.2,26,26.8,25.8,26.7,26.2,23.4,17.9,14,21.34
Khulna ,13.9,16.6,19.8,23.9,26.7,26.9,25.8,26.7,26.3,24.3,2.2,16.5,20.8
Mongla ,14.7,17.1,20.9,24.4,27.2,27.1,25.9,34.5,26.4,24.6,20.8,17,23.38
Satkhira ,13.6,16.3,19.5,24,27.2,26.5,25.8,26.9,26.1,24.1,19.4,15.7,22.09
Barisal ,18.6,29.2,19.2,23.8,26.3,26.5,25.8,26.3,26.1,24,19.4,21.4,23.88
Bhola ,13.3,29,32.3,23.9,26,26.3,25.8,26.4,25.7,24.3,19.3,15.8,24.01
Khepupara ,14.2,29.3,20.4,24.3,26.9,26.3,25.7,26,26.1,24.2,19.6,16.3,23.28
Patuakhali ,14.1,30,19.8,24,26.3,26,25.7,26.4,26,24.3,19.9,16.6,23.26
Chandpur ,14.5,16.1,19.8,22.8,25,25.5,25.7,26.3,25.9,24.6,20.5,16.3,21.92
Teknaf ,16.5,15.9,20.7,24,26.1,26.1,25.4,25.7,26,24,20.8,16.8,22.33
Chittagong ,16,17,21.1,23.6,26.1,26.1,25.4,25.8,25.8,24.4,20.5,17,22.4
Commilla ,11,15.8,18.9,22.5,25.3,25.8,25.8,26.4,25.8,24.4,19.5,15.2,21.37
Cox’s Bazar ,17.1,17.7,21.5,24.7,26.4,25.4,25.5,25.8,25.7,24.5,20,22.3,23.05
Feni ,13.5,15.8,19.1,22.7,25.1,26,25.1,25.8,25.6,23.7,19.4,15,21.4
Hatiya ,16,15.6,19.4,23.5,25.4,26.3,25.4,26,26.1,24.3,20,16.5,22.04
Kutubdia ,15.2,17.5,21,24.1,26.4,26.4,25.6,25.3,26.3,24.6,20.5,17.3,22.52
M. Court ,15,16.7,19.8,23.3,25.8,25.1,26,26.3,24.8,24.9,21.1,17.2,22.17
Rangamati ,14.6,19.2,17.9,21.9,24.5,26.1,25.4,25,26,22.9,18.6,14.6,21.39
Sandwip ,13.1,15.9,19.2,23.6,25.7,25.9,25.4,26,25.3,24.2,19.7,16.2,21.68
Sitakunda ,11.4,14.2,18.8,22.9,24.5,26.1,25.4,25.7,25.3,23.5,18.4,14.4,20.88
Ambagan,,14.4,17.8,21,24,,26.4,26.4,25.8,22.7,17.2,11.6,20.73
Dhaka ,14.2,19.1,22.6,26.9,24.9,27,26.5,26.8,26.6,25.3,20.2,17,23.09
Tangail ,11.3,16.5,19.9,24.8,23.6,25.5,25.5,26.7,26.4,24.4,18.8,14.8,21.52
Mymensingh ,12,16.8,20.1,24.3,23.6,26.2,26.5,25.8,25.3,24.3,18.6,19.1,21.88
Faridpur ,11.9,17.8,20.9,26.2,24.7,25.4,26.3,26.1,26,24.3,18.7,15.2,21.96
Madaripur ,12,18.2,21.2,25.8,24.6,26.1,26.2,27,26.1,24.2,18.2,14.9,22.04
Srimangal ,10,15.5,18.9,23.3,23,25.3,25.6,25.6,25.3,23.4,17.1,12.9,20.49
Sylhet ,13.4,17.6,20.5,21.8,23.2,25.5,25.8,26.2,25.5,24.5,19.3,16.3,21.63
Bogra ,11.8,16.3,20.9,25.6,23.9,26.6,26.6,27,26.4,24.5,18.9,15.2,21.98
Ishurdi ,10.9,15.8,19.8,25.5,24.1,26.3,26.6,26.6,26.2,24.3,17.9,13.6,21.47
Rajshahi ,10.8,15.6,19.9,24.9,24,26.2,26.6,26.7,26.4,24,17.5,13.6,21.35
Rangpur ,11.4,15.2,18.4,21.6,21.7,25.9,26.2,26.9,26.5,23.7,18.3,14.5,20.86
Sydpur ,10.9,14.6,18.5,22.7,22.8,25.8,26.2,26.7,25.4,23,17,13.6,20.6
Chuadanga ,10.6,16.6,20,25.4,24.6,26.1,34,26.3,26.2,23.9,17.4,13.2,22.03
Jessore ,11,17.6,21.1,25.7,25,26.1,26.1,26.5,26.5,24.1,17.5,13.3,21.71
Khulna ,13.5,19.4,22.6,26.7,25.3,26.5,26.5,26.5,26.4,24.8,19.3,15.6,22.76
Mongla ,14.3,20.1,23.6,26.9,25.9,26.6,26.4,26.3,26.6,25,20,16.5,23.18
Satkhira ,13,19.3,22.6,26.6,25.4,26.5,26.6,26.4,26.4,24.4,18.2,14.3,22.48
Barisal ,12.7,19,22.3,26.6,25.7,26.6,26.2,26.2,26.2,24.6,19,15.2,22.53
Bhola ,12.4,19,22.1,26.6,25.1,26.5,26.2,26.1,26.1,24.7,19,15.1,22.41
Khepupara ,13.5,19.6,23.2,27,25.7,26.3,33.2,26,26,24.8,18.9,15.8,23.33
